MakeNHL,Name,P/G,RelPM,Import,Ht,TeamStr,TOI,2ndAss%,G:A,Overage?,Weight,AgeInMonths,TeamForwardPointRank,Top5Team,Top10Team,IPP,PercentTO,TotalQOC,TotalQOT,OIGwTop,TopPlayer,GFDifferential,PPGRelativeToLead,DraftYear
0,Michael Neal,0.139832111,-0.145977011,0,75,0.518656716,0.129161883,0,0.5,0,205,221,12,1,1,0.8,0.057553957,0.261748605,0.2299842,0.111111111,0,-0.130864198,0.078711986,2007
0,Torrey DiRoberto,0.975367637,0.037701399,0,71,0.562130178,0.328402367,0.160493827,0.456790123,1,190,233,2,0,1,0.707692308,0.242105263,0.261675363,0.265980127,0.173913043,0,0.034924793,0.639,1997
0,Brian McGrattan,0.307954523,-0.123553719,0,76,0.463022508,0.235435174,0.238095238,0.380952381,0,220,216,12,1,1,0.739130435,0.118055556,0.292154081,0.264652149,0,0,-0.145776256,0.22223041,1999
0,Eric Bowen,0.103007459,-0.143172637,0,75,0.371237458,0.164025011,0.285714286,0.285714286,0,212,227,11,0,0,0.636363636,0.063063063,0.352693047,0.176015109,0.444444444,0,-0.162782844,0.114848236,2000
0,Aaron Van Leusen,0.619712593,-0.010068027,0,72,0.501618123,0.306591722,0.297297297,0.459459459,0,180,227,4,0,0,0.567567568,0.135483871,0.328364657,0.327326335,0.325,0,-0.010940171,0.485058801,2000
0,Eric Beaudoin,0.311488249,-0.113206812,0,75,0.561933535,0.235064808,0.227272727,0.409090909,0,205,220,11,0,0,0.606060606,0.107526882,0.067033027,0.066268697,0.033333333,0,-0.087008141,0.266129032,1998
0,Byron Froese,0.8235178,0.085831063,0,72,0.404411765,0.308823529,0.280701754,0.333333333,0,193,222,5,0,0,0.785714286,0.3,0.341822718,0.286065939,0.860465116,0,0.138297872,0.77027027,2009
0,Anton Borodkin,0.49551495,-0.090757381,1,71,0.635451505,0.25776061,0.243243243,0.216216216,0,184,224,11,0,0,0.7,0.147368421,0.286501022,0.345219017,0.235294118,0,-0.14632995,0,1999
0,D.J. King,0.354435209,-0.102059052,0,72,0.506329114,0.227848101,0.208333333,0.416666667,0,185,219,10,1,1,0.678571429,0.11875,0.387643688,0.356392823,0.285714286,0,-0.095127184,0.248454349,2002
0,Jamie Chamberlain,0.496220838,-0.070846847,0,73,0.547619048,0.266506603,0.282051282,0.384615385,0,190,217,9,0,1,0.638888889,0.142857143,0.358601248,0.263979306,0.166666667,0,-0.081695332,0.376646181,1999
1,Darren Helm,0.409871297,-0.091201403,0,72,0.614349776,0.295964126,0.208333333,0.416666667,0,182,224,10,1,1,0.638888889,0.167883212,0.323216974,0.370246506,0.35483871,0,-0.097857556,0.261261261,2005
0,Brett Sonne,0.468215722,-0.072144888,0,72,0.546184739,0.207704056,0.2,0.7,0,184,220,9,0,1,0.64,0.117647059,0.282082585,0.260229628,0.027777778,0,-0.070409982,0.341826238,2007
0,Dan Baum,0.366740281,-0.167907801,0,73,0.450511945,0.195754035,0.304347826,0.391304348,0,199,219,9,0,0,0.9375,0.113636364,0.286569171,0.244143558,0.470588235,0,-0.131119184,0.3611665,2001
0,Freddie Hamilton,0.835033136,0.153705334,0,73,0.498141264,0.397304833,0.236363636,0.454545455,0,190,224,4,0,0,0.685185185,0.276119403,0.307676655,0.287893852,0.7875,0,0.108650938,0.859375,2010
0,Stephen Johnston,0.157658799,-0.123229462,0,73,0.603636364,0.102857143,0.333333333,0.222222222,0,190,223,14,0,1,0.727272727,0.048192771,0.239332281,0.242482383,0,0,-0.112648221,0.107820976,2008
0,Dane Byers,0.401305421,-0.072586328,0,74,0.536036036,0.209856916,0.176470588,0.529411765,0,181,223,7,0,1,0.6,0.075630252,0.317464486,0.362631295,0.333333333,0,-0.095719096,0.266666667,2004
0,Kory Nagy,0.292575392,-0.099564229,0,71,0.506578947,0.216066482,0.411764706,0.294117647,0,197,227,12,1,1,0.565217391,0.084415584,0.32191441,0.259999071,0.115384615,0,-0.077533578,0.149122807,2008
0,Drew Czerwonka,0.250041047,-0.104382737,0,74,0.555555556,0.213507625,0.307692308,0.307692308,0,205,218,10,0,1,0.47826087,0.064705882,0.297005563,0.298663144,0.041666667,0,-0.102596681,0.176025488,2010
0,Carson McMillan,0.338589332,-0.102693276,0,74,0.546184739,0.208835341,0.090909091,0.318181818,0,213,228,12,0,1,0.541666667,0.095588235,0.246151232,0.245668713,0.142857143,0,-0.106989457,0.247191011,2007
0,Dylen McKinlay,0.620294136,0.043323996,0,71,0.472727273,0.327272727,0.23255814,0.465116279,0,185,221,4,0,0,0.695652174,0.246153846,0.303135519,0.234353793,0.081632653,0,0.057057057,0.597222222,2010
0,Zac Rinaldo,0.217997351,-0.104041617,0,71,0.48015873,0.222222222,0.357142857,0.5,0,180,219,8,0,0,0.823529412,0.115702479,0.333514227,0.239798387,0.294117647,0,-0.165376495,0.186186186,2008
0,Ryan Van Buskirk,0.59403081,-0.039498187,0,74,0.53256705,0.349425287,0.214285714,0.285714286,2,205,248,7,0,0,0.321428571,0.064748201,0.324199719,0.337186193,0.407407407,0,-0.052889577,0.541414141,2000
0,Adam DeLeeuw,0.25080872,-0.114894795,0,73,0.517799353,0.149791956,0.0625,0.625,0,225,223,9,0,0,0.466666667,0.04375,0.069974741,0.054654628,0.133333333,0,-0.114468864,0.217142857,1998
0,Mickey Renaud,0.721780454,-0.012531017,0,75,0.38762215,0.427668136,0.185185185,0.407407407,0,220,227,4,0,0,0.653061224,0.268907563,0.333028707,0.223976211,0.24137931,0,0.012647629,0.806925996,2007
0,Ian Schultz,0.506559156,-0.014925373,0,75,0.584229391,0.211844006,0.2,0.5,0,208,223,9,0,0,0.696969697,0.141104294,0.286859958,0.30878242,0.5,0,0.019642857,0,2008
0,Steven Goertzen,0.218165612,-0.109683794,0,74,0.44011976,0.179640719,0.133333333,0.4,0,205,220,12,0,0,0.611111111,0.074829932,0.379141606,0.273693882,0.090909091,0,-0.135092864,0.184169279,2002
0,Brad Twordik,0.916928561,-0.028125289,0,70,0.567639257,0.379195018,0.236111111,0.319444444,0,200,226,6,1,1,0.679487179,0.247663551,0.299620097,0.418644734,0.768292683,0,0.002676399,0.6366986,1998
0,Darren McLachlan,0.425585771,-0.072134387,0,74,0.478125,0.176785714,0.263157895,0.526315789,0,223,223,10,0,1,0.714285714,0.065359477,0.281770354,0.21991826,0.125,0,-0.060078133,0,2001
0,Tim Preston,0.427883855,-0.061797753,0,72,0.537704918,0.243934426,0.37037037,0.444444444,0,191,219,7,0,1,0.580645161,0.109756098,0.335470065,0.355851629,0.133333333,0,-0.047325103,0.319354839,1999
0,Harrison Reed,0.706062562,-0.003275234,0,73,0.404081633,0.380312125,0.22,0.52,0,175,224,4,0,0,0.542857143,0.191919192,0.151242866,0.13488611,0.545454545,0,-0.009916039,0.554298643,2006
0,Tim Brent,1.352744741,0.127118644,0,72,0.531914894,0.341067844,0.208955224,0.388059701,2,180,246,5,0,0,0.72972973,0.216,0.213692683,0.162873188,1,1,0.127118644,1,2004
0,Chris Terry,0.88217611,0.014400789,0,70,0.653992395,0.318049653,0.151515152,0.333333333,0,190,221,7,0,1,0.666666667,0.197674419,0.309252184,0.342871585,0.431034483,0,-0.012039075,0.61682243,2007
0,Eric Johansson,0.846132697,0.035838179,0,72,0.47826087,0.301242236,0.183333333,0.4,2,190,248,1,0,0,0.869565217,0.25974026,0.320006626,0.307666355,0.414634146,0,-0.005773196,0.735294118,2000
0,Brian Passmore,0.954692373,0.045655783,0,71,0.494423792,0.359953852,0.293103448,0.379310345,2,180,245,4,0,1,0.761904762,0.240601504,0.320202103,0.321808962,0.133333333,0,0.062021748,0.67816092,2000
0,Tyler Randell,0.498999063,-0.028267722,0,73,0.522648084,0.25430767,0.135135135,0.648648649,0,197,219,7.479452055,1,1,0.685714286,0.16,0.280682154,0.288040726,1.094339623,0,-0.057842136,0.335761397,2009
0,Marcel Rodman,1.163502566,0.181981982,0,73,0.552901024,0.447154926,0.225352113,0.507042254,1,175,240,1,0,0,0.694444444,0.308641975,0.289280155,0.283847711,1,1,0.154143154,1,2001
0,Fedor Fedorov,1.163747153,0.102333152,0,75,0.575,0.434328358,0.153846154,0.423076923,2,170,243,4,0,1,0.725806452,0.326086957,0.275656849,0.327600732,0.819672131,0,0.107706726,0.811001174,2001
0,Aaron Snow,0.960245085,0.014831294,0,73,0.518672199,0.382230901,0.220588235,0.441176471,0,204,220,3,1,1,0.653061224,0.256,0.139656401,0.182519121,0.745454545,0,0.069711897,0.4375,2006
0,Justin Cox,0.29053842,-0.096013581,0,72,0.515406162,0.198879552,0.227272727,0.409090909,0,170,222,13,0,0,0.724137931,0.114130435,0.315528555,0.294703596,0.157894737,0,-0.133507338,0.262670565,1999
0,Cam Severson,0.611159321,-0.024235944,0,74,0.5395189,0.352881528,0.162790698,0.395348837,1,214,236,7.68852459,1,1,0.52173913,0.152866242,0.284839258,0.292606332,0.977777778,0,0.015915119,0.420960187,1997
0,Mike Brown,0.396339865,-0.075633242,0,76,0.52284264,0.216678753,0.15625,0.59375,0,205,221,8,1,1,0.526315789,0.097087379,0.254405203,0.265805043,0.114285714,0,-0.082361601,0.208979592,1997
0,Cam Janssen,0.338612813,-0.079845758,0,72,0.537162162,0.190033784,0.272727273,0.227272727,0,215,221,11,1,1,0.782608696,0.113207547,0.252219921,0.22317657,0.111111111,0,-0.092845528,0.20625,2002
0,Jason Doyle,0.70608107,-0.022380156,0,74,0.45631068,0.395103419,0.297297297,0.405405405,2,205,244,8,0,0,0.733333333,0.175531915,0.072879901,0.068749344,0.146341463,0,-0.031593407,0.660714286,1998
0,Jiri Jakes,0.558581325,-0.065366766,1,76,0.50310559,0.269021739,0.184210526,0.578947368,0,212,227,8,0,0,0.676470588,0.141975309,0.282751887,0.247368411,0.285714286,0,-0.080890538,0,2001
0,Shane Willis,1.229319078,0.143430935,0,73,0.503355705,0.465190824,0.084210526,0.589473684,2,180,243,1.388059701,1,1,0.658536585,0.36,0.310974502,0.290985455,1.634146341,1,0.153938485,0.902985075,1997
0,Scott Parker,0.643571924,-0.016887678,0,76,0.507653061,0.276803679,0.173076923,0.576923077,2,237,248,6,0,1,0.592592593,0.16080402,0.311371777,0.282203306,0.125,0,-0.004099033,0.454589607,1998
0,Tyler Bouck,0.500196285,-0.027663878,0,72,0.556097561,0.245853659,0.405405405,0.297297297,0,195,224,8,0,1,0.66,0.144736842,0.295708903,0.349004616,0.102040816,0,-0.008543181,0.350686813,1998
0,Geordie Wudrick,0.754210299,0.037599113,0,75,0.555555556,0.309299896,0.181818182,0.454545455,0,208,221,8,0,0,0.714285714,0.206896552,0.30367815,0.318521755,0.457142857,0,0.016765429,0.692810458,2008
